id,cast,cinematographer,costume department,director,editor,genres,language,rating,producer,writer,distributor
0086190,Mark Hamill,Alan Hume,Elvira Angelinetta,Richard Marquand,Sean Barton,Action,English,8.4,Jim Bloom,Lawrence Kasdan,Twentieth Century Fox Film Corporation
0036775,Fred MacMurray,John F. Seitz,Neva Bourne,Billy Wilder,null,Crime,English,8.4,Buddy G. DeSylva,Billy Wilder,Paramount Pictures
3092790,Conleth Hill,Andrew Alderslade,null,Matthew Butler,William Honeyball,Comedy,English,8.4,Matthew Butler,Matthew Butler,null
1656648,Mase Daniels,Spencer T. Folmar,null,Spencer T. Folmar,Spencer T. Folmar,Drama,English,8.3,Spencer T. Folmar,Spencer T. Folmar,null
0112573,James Robinson,John Toll,Michael Barber,Mel Gibson,Steven Rosenblum,Biography,English,8.4,Bruce Davey,Randall Wallace,Paramount Pictures
1783721,Houston Peter,Iain Cash,Joanne Cook,Joe Scott,Andrew McKee,Drama,English,8.4,Johnny Parker,Joe Scott,null
0021533,William Haines,Henry Sharp,null,Fred Niblo,William S. Gray,Western,English,8.4,null,Alfred Block,Metro-Goldwyn-Mayer (MGM)
0180093,Ellen Burstyn,Matthew Libatique,Marie Abma,Darren Aronofsky,Jay Rabinowitz,Drama,English,8.4,Ben Barenholtz,Hubert Selby Jr,Artisan Entertainment
0081059,Anthony Quinn,Jack Hildyard,Paul Vachon,Moustapha Akkad,John Shirley,Biography,English,8.4,Moustapha Akkad,David Butler,United Film Distribution Company (UFDC)
0056592,Gregory Peck,Russell Harlan,Seth Banks,Robert Mulligan,Aaron Stell,Drama,English,8.4,Alan J. Pakula,Harper Lee,Universal Pictures
2096673,Amy Poehler,null,null,Pete Docter,Kevin Nolting,Animation,English,8.4,John Lasseter,Pete Docter,Cinecolor Films
0056172,Peter O'Toole,Freddie Young,John Wilson-Apperson,David Lean,Anne V. Coates,Adventure,English,8.4,Sam Spiegel,T.E. Lawrence,Columbia Pictures
0066921,Malcolm McDowell,John Alcott,Ron Beck,Stanley Kubrick,Bill Butler,Crime,English,8.4,Stanley Kubrick,Stanley Kubrick,Warner Bros.
0435761,Tom Hanks,null,null,Lee Unkrich,Ken Schretzmann,Animation,English,8.4,Darla K. Anderson,John Lasseter,Audio Visual Enterprises
0105236,Harvey Keitel,Andrzej Sekula,Jacqueline Aronson,Quentin Tarantino,Sally Menke,Crime,English,8.4,Lawrence Bender,Quentin Tarantino,Miramax
0012349,Carl Miller,Roland Totheroh,Mother Vinot,Charles Chaplin,Charles Chaplin,Comedy,English,8.4,Charles Chaplin,Charles Chaplin,First National Pictures
0338013,Jim Carrey,Ellen Kuras,Cara Czekanski,Michel Gondry,Valdís Óskarsdóttir,Drama,English,8.4,Georges Bermann,Charlie Kaufman,Focus Features
3438208,Kathy Najimy,Oren Soffer,Liz Santamorena,Jonathan D. Bucari,Jonathan D. Bucari,Drama,English,8.4,Julie Begey Seureau,Jonathan D. Bucari,null
0075314,Diahnne Abbott,Michael Chapman,Al Craine,Martin Scorsese,Tom Rolf,Crime,English,8.4,Phillip M. Goldfarb,Paul Schrader,Columbia Pictures
1942920,Ian McKellen,Pete Wallington,null,Matthew Butler,William Honeyball,Comedy,English,8.4,Chris Hart,Matthew Butler,E1 Entertainment
0045152,Gene Kelly,Harold Rosson,Joan Joseff,Stanley Donen,Adrienne Fazan,Comedy,English,8.4,Arthur Freed,Adolph Green,Metro-Goldwyn-Mayer (MGM)
0012928,Marion Davies,Ira H. Morgan,null,Robert G. Vignola,null,Drama,English,8.4,null,Sophie Kerr,Paramount Pictures
0042192,Bette Davis,Milton R. Krasner,Edith Head,Joseph L. Mankiewicz,Barbara McLean,Comedy,English,8.3,Darryl F. Zanuck,Joseph L. Mankiewicz,Twentieth Century Fox Film Corporation
5056056,Bianca Rollins,null,null,Felix Arno,null,null,English,8.3,Chris Dwyer,Sam Kaplan,null
0070735,Paul Newman,Robert Surtees,Bernie Pollack,George Roy Hill,William Reynolds,Comedy,English,8.3,Tony Bill,David S. Ward,Universal Pictures
0086879,F. Murray Abraham,Miroslav Ondrícek,Fabrizio Caracciolo,Milos Forman,Michael Chandler,Biography,English,8.3,Michael Hausman,Peter Shaffer,Orion Pictures
0019585,Lillian Gish,John Arnold,null,Victor Sjöström,Conrad A. Nervig,Drama,English,8.3,Kevin Brownlow,Frances Marion,Metro-Goldwyn-Mayer (MGM)
0018742,Buster Keaton,Reggie Lanning,David Cox,Edward Sedgwick,Hugh Wynn,Comedy,English,8.3,Buster Keaton,Clyde Bruckman,Metro-Goldwyn-Mayer (MGM)
0093058,Matthew Modine,Douglas Milsome,John Birkinshaw,Stanley Kubrick,Martin Hunter,Drama,English,8.3,Jan Harlan,Gustav Hasford,Warner Bros.
0040897,Humphrey Bogart,Ted D. McCord,Robert O'Dell,John Huston,Owen Marks,Action,English,8.3,Henry Blanke,John Huston,Warner Bros.
0018749,Marion Davies,John Arnold,null,Robert Z. Leonard,Basil Wrangell,Comedy,English,8.3,Marion Davies,Jacques Deval,Metro-Goldwyn-Mayer (MGM)
0017860,Marion Davies,John F. Seitz,null,Sam Wood,Conrad A. Nervig,Comedy,English,8.3,Sam Wood,George Ade,Metro-Goldwyn-Mayer (MGM)
0071853,Graham Chapman,Terry Bedford,null,Terry Gilliam,John Hackney,Adventure,English,8.3,Mark Forstater,Graham Chapman,EMI Films
0053604,Jack Lemmon,Joseph LaShelle,Forrest T. Butler,Billy Wilder,Daniel Mandell,Comedy,English,8.3,I.A.L. Diamond,Billy Wilder,United Artists
0062622,Keir Dullea,Geoffrey Unsworth,Hardy Amies,Stanley Kubrick,Ray Lovejoy,Mystery,English,8.3,Stanley Kubrick,Stanley Kubrick,Metro-Goldwyn-Mayer (MGM)
0040458,Irene Dunne,Nicholas Musuraca,null,George Stevens,Robert Swink,Drama,English,8.3,Harriet Parsons,DeWitt Bodeen,RKO Radio Pictures
2396224,Sara Cushman,Don Hertzfeldt,null,Don Hertzfeldt,Brian Hamblin,Animation,English,8.3,Don Hertzfeldt,Don Hertzfeldt,Cinemad Presents
0208092,Benicio Del Toro,Tim Maurice-Jones,Melina Fragkia,Guy Ritchie,Jon Harris,Comedy,English,8.3,Michael Dreyer,Guy Ritchie,Sony Pictures Entertainment (SPE)
2170667,Donavon Warren,Ioana Vasile,Christi Alvarado,Tim Gagliardo,Sergio Vizuete,Drama,English,8.3,Thomas Bernard,Donavon Warren,null
3328054,David Tennant,null,null,Gregory Doran,null,null,English,8.4,null,null,null
0041959,Joseph Cotten,Robert Krasker,Ivy Baker,Carol Reed,Oswald Hafenrichter,Film-Noir,English,8.3,Hugh Perceval,Graham Greene,British Lion Film Corporation
0383678,John Paul Tremblay,Mike Clattenburg,Annemarie Cassidy,Mike Clattenburg,Mike Clattenburg,Comedy,English,8.3,Mike Clattenburg,Mike Clattenburg,Showcase Television
0086250,Al Pacino,John A. Alonzo,Linda Henrikson,Brian De Palma,Gerald B. Greenberg,Crime,English,8.3,Martin Bregman,Oliver Stone,Universal Pictures
3170832,Brie Larson,Danny Cohen,Minda Johnson,Lenny Abrahamson,Nathan Nugent,Drama,English,8.3,Jeff Arkuss,Emma Donoghue,A24
0361748,Brad Pitt,Robert Richardson,Giorgio Armani,Quentin Tarantino,Sally Menke,Adventure,English,8.3,Lawrence Bender,Quentin Tarantino,Alliance Films
0053291,Marilyn Monroe,Charles Lang,Bert Henrikson,Billy Wilder,Arthur P. Schmidt,Comedy,English,8.3,I.A.L. Diamond,Billy Wilder,United Artists
0119488,Kevin Spacey,Dante Spinotti,Elizabeth Abate,Curtis Hanson,Peter Honess,Crime,English,8.3,Curtis Hanson,James Ellroy,Warner Bros.
0019811,John Gilbert,James Wong Howe,Henrietta Frazer,William Nigh,Harry Reynolds,Adventure,English,8.3,William Nigh,John T. Neville,Metro-Goldwyn-Mayer (MGM)
0114709,Tom Hanks,null,null,John Lasseter,Robert Gordon,Animation,English,8.3,Bonnie Arnold,John Lasseter,Buena Vista Pictures
0372784,Christian Bale,Wally Pfister,Jennifer Alford,Christopher Nolan,Lee Smith,Action,English,8.3,Larry J. Franco,Bob Kane,Warner Bros.
0014205,Marion Davies,Ira H. Morgan,null,Sidney Olcott,null,Comedy,English,8.3,William Randolph Hearst,Rida Johnson Young,Goldwyn-Cosmopolitan Distributing Corporation
0015324,Buster Keaton,Byron Houck,null,Buster Keaton,Roy B. Yokelson,Comedy,English,8.3,Buster Keaton,Jean C. Havez,Metro Pictures Corporation
0020143,Marion Davies,Oliver T. Marsh,Adrian,Robert Z. Leonard,James C. McKay,Drama,English,8.3,Marion Davies,Dale Van Every,Metro-Goldwyn-Mayer (MGM)
0097576,Harrison Ford,Douglas Slocombe,Ron Beck,Steven Spielberg,Michael Kahn,Action,English,8.3,George Lucas,Jeffrey Boam,Paramount Pictures
3327556,Nina Deasley,Carlos Schneider,null,Kane George Jason,Ken Lee,Drama,English,8.3,Eva Jason,Kane George Jason,null
0105695,Clint Eastwood,Jack N. Green,Joanne Hansen,Clint Eastwood,Joel Cox,Western,English,8.3,Clint Eastwood,David Webb Peoples,Warner Bros.
0040725,Marius Goring,Jack Cardiff,Carven,Michael Powell,Reginald Mills,Drama,English,8.3,George R. Busby,Hans Christian Andersen,General Film Distributors (GFD)
0031679,Jean Arthur,Joseph Walker,Forrest T. Butler,Frank Capra,Al Clark,Drama,English,8.3,Frank Capra,Sidney Buchman,Columbia Pictures
1049413,Edward Asner,null,null,Pete Docter,Kevin Nolting,Animation,English,8.3,John Lasseter,Pete Docter,Walt Disney Studios Motion Pictures
0057115,Steve McQueen,Daniel L. Fapp,Bert Henrikson,John Sturges,Ferris Webster,Adventure,English,8.3,John Sturges,Paul Brickhill,United Artists
3899706,Nicola Fiore,Jared Noe,null,Ruby Larocca,Ruby Larocca,Horror,English,8.3,Gregory Hatanaka,Ruby Larocca,Cinema Epoch
0041452,Olivia de Havilland,Leo Tover,Gile Steele,William Wyler,William Hornbeck,Drama,English,8.3,Lester Koenig,Ruth Goetz,Paramount Pictures
0047296,Marlon Brando,Boris Kaufman,Anna Hill Johnstone,Elia Kazan,Gene Milford,Crime,English,8.3,Sam Spiegel,Budd Schulberg,Columbia Pictures
0081398,Robert De Niro,Michael Chapman,William Loger,Martin Scorsese,Thelma Schoonmaker,Biography,English,8.3,Robert Chartoff,Jake LaMotta,United Artists
0017925,Buster Keaton,Bert Haines,Bennie Hubbel,Clyde Bruckman,Buster Keaton,Action,English,8.3,David Shepard,Buster Keaton,United Artists
0014429,Harold Lloyd,Walter Lundin,null,Fred C. Newmeyer,Thomas J. Crizer,Comedy,English,8.3,Kevin Brownlow,Hal Roach,Pathé Exchange
1772321,Matias Masucci,Sébastien Hameline,Barbara DiCocco,Matias Masucci,Matias Masucci,Comedy,English,8.3,Lee Cantelon,Matias Masucci,Society Foundation Films
0015864,Charles Chaplin,Roland Totheroh,null,Charles Chaplin,Charles Chaplin,Adventure,English,8.3,Charles Chaplin,Charles Chaplin,United Artists
0029192,Victor Moore,William C. Mellor,null,Leo McCarey,LeRoy Stone,Drama,English,8.3,Leo McCarey,Viña Delmar,Paramount Pictures
0119217,Matt Damon,Jean-Yves Escoffier,Susan Anderson,Gus Van Sant,Pietro Scalia,Drama,English,8.3,Su Armstrong,Matt Damon,Miramax
1773764,Aida Elkashef,Pankaj Kumar,null,Anand Gandhi,Sanyukta Kaza,Drama,English,8.3,Ruchi Bhimani,Anand Gandhi,null
0071315,Jack Nicholson,John A. Alonzo,Richard Bruno,Roman Polanski,Sam O'Steen,Drama,English,8.3,C.O. Erickson,Robert Towne,Paramount Pictures
0055031,Spencer Tracy,Ernest Laszlo,Jean Louis,Stanley Kramer,Frederic Knudtson,Drama,English,8.3,Stanley Kramer,Abby Mann,United Artists
0113277,Al Pacino,Dante Spinotti,Darryl M. Athons,Michael Mann,Pasquale Buba,Action,English,8.3,Pieter Jan Brugge,Michael Mann,Warner Bros.
0025536,Gloria Swanson,Ernest Palmer,Eugene Joseff,Joe May,null,Comedy,English,8.3,Erich Pommer,Jerome Kern,Fox Film Corporation
3014454,Ron Becks,Spike Hasegawa,null,Gregory Hatanaka,Sean Cain,Action,English,8.3,Ron Becks,Ron Becks,Cinema Epoch
0095016,Bruce Willis,Jan de Bont,Barry Francis Delaney,John McTiernan,John F. Link,Action,English,8.2,Charles Gordon,Roderick Thorp,Twentieth Century Fox Film Corporation
1454700,Heather Fields,Thomas Barney,null,Dianna Collett,Dianna Collett,Drama,English,8.2,Paul Collett,Paul Collett,Indie Rights
0050212,William Holden,Jack Hildyard,John Wilson-Apperson,David Lean,Peter Taylor,Adventure,English,8.2,Sam Spiegel,Pierre Boulle,Columbia Pictures
0787524,Jeremy Irons,Larry Smith,Anna Beckett,Matt Brown,JC Bond,Biography,English,8.2,Nick Bain,Matt Brown,Ascot Elite Entertainment Group
0119550,Kristina Wayborn,Dan Alexandru,Hilda Canciu,Linda Shayne,Carol Oblath,Family,English,8.2,Robert Bernacchi,Timothy Michaels,Hollywood Audiovision Productions
0043362,Michael Redgrave,Desmond Dickinson,Yvonne Caffin,Anthony Asquith,John D. Guthridge,Drama,English,8.2,Teddy Baird,Terence Rattigan,General Film Distributors (GFD)
0042041,James Cagney,Sidney Hickox,Leah Rhodes,Raoul Walsh,Owen Marks,Crime,English,8.2,Louis F. Edelman,Ivan Goff,Warner Bros.
0055353,Sidney Poitier,Charles Lawton Jr.,null,Daniel Petrie,William A. Lyon,Drama,English,8.2,Ronald H. Gilbert,Lorraine Hansberry,Columbia Pictures
0015116,Gloria Swanson,Harold Rosson,null,Allan Dwan,Julian Johnson,Drama,English,8.2,Allan Dwan,Julian Johnson,Paramount Pictures
0083658,Harrison Ford,Jordan Cronenweth,Winnie D. Brown,Ridley Scott,Marsha Nakashima,Sci-Fi,English,8.2,Charles de Lauzirika,Hampton Fancher,Warner Bros.
0023622,Miriam Hopkins,Victor Milner,Eugene Joseff,Ernst Lubitsch,null,Comedy,English,8.2,Ernst Lubitsch,Samson Raphaelson,Paramount Pictures
1291584,Joel Edgerton,Masanobu Takayanagi,Darcie Buterbaugh,Gavin O'Connor,Sean Albertson,Drama,English,8.2,Lisa Ellzey,Gavin O'Connor,PARLUX Entertainment
1865505,David Rawle,null,null,Tomm Moore,Darragh Byrne,Animation,English,8.2,Clément Calvet,Will Collins,WestEnd Films
0043338,Kirk Douglas,Charles Lang,Ed Fitzharris,Billy Wilder,Arthur P. Schmidt,Drama,English,8.2,William Schorr,Billy Wilder,Paramount Pictures
0033836,Bette Davis,Gregg Toland,Eugene Joseff,William Wyler,Daniel Mandell,Drama,English,8.2,Samuel Goldwyn,Lillian Hellman,RKO Radio Pictures
0050371,Andy Griffith,Gayne Rescher,Flo Transfield,Elia Kazan,Gene Milford,Drama,English,8.2,Elia Kazan,Budd Schulberg,Warner Bros.
0016822,Colleen Moore,Arthur Martinelli,null,Alfred E. Green,Robert Kern,Comedy,English,8.2,John McCormick,Mervyn LeRoy,First National Pictures
